show_id,type,title,cast,release_year,duration,listed_in,description,platform,min,season
s1,Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",2016,23 min,"Animation, Family",Join Mickey and the gang as they duck the halls!,disney,23,min
s2,Movie,Ernest Saves Christmas,"Jim Varney, Noelle Parker, Douglas Seale",1988,91 min,Comedy,Santa Claus passes his magic bag to a new St. Nic.,disney,91,min
s3,Movie,Ice Age: A Mammoth Christmas,"Raymond Albert Romano, John Leguizamo, Denis Leary, Queen Latifah",2011,23 min,"Animation, Comedy, Family",Sid the Sloth is on Santa's naughty list.,disney,23,min
s4,Movie,The Queen Family Singalong,"Darren Criss, Adam Lambert, Derek Hough, Alexander Jean, Fall Out Boy, Jimmie Allen",2021,41 min,Musical,"This is real life, not just fantasy!",disney,41,min
s5,TV Show,The Beatles: Get Back,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",2021,1 Season,"Docuseries, Historical, Music",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.,disney,1,Season
s6,Movie,Becoming Cousteau,"Jacques Yves Cousteau, Vincent Cassel",2021,94 min,"Biographical, Documentary",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.,disney,94,min
s7,TV Show,Hawkeye,"Jeremy Renner, Hailee Steinfeld, Vera Farmiga, Fra Fee, Tony Dalton, Zahn McClarnon",2021,1 Season,"Action-Adventure, Superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.,disney,1,Season
s8,TV Show,Port Protection Alaska,"Gary Muehlberger, Mary Miller, Curly Leach, Sam Carlson, Stuart Andrews, David Squibb",2015,2 Seasons,"Docuseries, Reality, Survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.,disney,2,Seasons
s9,TV Show,Secrets of the Zoo: Tampa,"Dr. Ray Ball, Dr. Lauren Smith, Chris Massaro, Tiffany Burns, Mike Burns, Melinda Mendolusky",2019,2 Seasons,"Animals & Nature, Docuseries, Family",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!,disney,2,Seasons
s10,Movie,A Muppets Christmas: Letters To Santa,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",2008,45 min,"Comedy, Family, Musical",Celebrate the holiday season with all your favorite Muppets.,disney,45,min
s11,Movie,Adventure Thru the Walt Disney Archives,"Don Hahn, Kathryn Beaumont, Pete Docter, Kevin Feige, Mark Hamill, Bob Iger",2020,59 min,Documentary,Explore the treasures and rich history of the Walt Disney Archives.,disney,59,min
s12,Movie,Puppy for Hanukkah,sin dato,2020,4 min,"Comedy, Family, Music","Check out Daveed Digg's official music video ""Puppy for Hanukkah!""",disney,4,min
s13,Movie,The Pixar Story,"Stacy Keach, John Lasseter, Brad Bird, John Musker, Ron Clements, Frank Thomas",2007,91 min,"Documentary, Family",A groundbreaking company forever changes the face of filmmaking.,disney,91,min
